2017-11-29 05:06:09 AM,device04,遥信点04,报警
2017-11-29 05:06:09 AM,device04,遥信点08,报警
2017-11-29 05:06:09 AM,device04,遥信点13,报警
2017-11-29 05:06:09 AM,device04,遥信点14,报警
2017-11-29 05:06:54 AM,device04,遥信点05,报警
2017-11-29 05:06:54 AM,device04,遥信点12,报警
2017-11-29 05:06:54 AM,device04,遥信点19,报警
2017-11-29 05:07:45 AM,device04,遥信点17,报警
2017-11-29 05:08:19 AM,device04,遥信点09,报警
2017-11-29 05:09:33 AM,device04,遥信点11,报警
2017-11-29 05:12:43 AM,device04,遥信点05,报警
2017-11-29 05:12:43 AM,device04,遥信点09,报警
2017-11-29 05:12:43 AM,device04,遥信点11,报警
2017-11-29 05:12:43 AM,device04,遥信点12,报警
2017-11-29 05:12:43 AM,device04,遥信点17,报警
2017-11-29 05:12:43 AM,device04,遥信点19,报警
2017-11-29 05:13:20 AM,device04,遥信点13,报警
2017-11-29 05:14:02 AM,device04,遥信点14,报警
2017-11-29 05:14:16 AM,device04,遥信点15,报警
2017-11-29 05:15:30 AM,device04,遥信点05,报警
2017-11-29 05:15:30 AM,device04,遥信点09,报警
2017-11-29 05:15:30 AM,device04,遥信点11,报警
2017-11-29 05:15:30 AM,device04,遥信点12,报警
2017-11-29 05:15:30 AM,device04,遥信点13,报警
2017-11-29 05:15:30 AM,device04,遥信点14,报警
2017-11-29 05:15:30 AM,device04,遥信点15,报警
2017-11-29 05:15:30 AM,device04,遥信点17,报警
2017-11-29 05:15:30 AM,device04,遥信点19,报警
2017-11-29 05:16:14 AM,device04,遥信点16,报警
2017-11-29 05:16:26 AM,device04,遥信点18,报警
